Date,Close,Volume,Open,High,Low,SMA_50,SMA_200,RSI,ATR
2023-08-29,91.27,7596440,87.45,91.47,87.33,81.4474,107.32914999999998,15.908803380293449,6.759999999999991
2023-08-28,87.46,5712860,87.21,87.9,86.41,81.5592,107.04415,-2.202164695723667,7.469999999999999
2023-08-25,85.93,10681420,85.18,86.69,83.04,81.6538,106.75595000000001,-8.011684986125843,10.83999999999999
2023-08-24,84.22,6831196,88.82,89.14,84.14,81.7248,106.47625,-46.3381530263257,10.83999999999999
2023-08-23,87.87,6090929,85.66,88.28,85.62,81.9108,106.21940000000001,-4.384851922009986,10.83999999999999
2023-08-22,85.06,7030738,86.78,86.8799,84.76,82.1252,105.95485,-14.510825229096568,10.83999999999999
2023-08-21,85.84,6650457,84.76,86.28,83.49,82.40119999999999,105.69085,-18.302075745411784,10.83999999999999
2023-08-18,84.15,8221099,82.34,84.825,82.19,82.66860000000001,105.41815000000001,-18.5645570886674,11.689999999999998
2023-08-17,84.14,11069250,87.02,87.1599,83.81,82.98479999999999,105.16915,-16.67760790604528,11.689999999999998
2023-08-16,86.25,9315334,87.84,88.9,86.16,83.3224,104.93260000000001,-10.366002307052483,11.689999999999998
2023-08-15,88.23,8806308,90.25,90.45,87.8162,83.6476,104.70725,-9.469254046728608,11.689999999999998
2023-08-14,91.35,6042756,89.29,91.39,89.13,83.96959999999999,104.5141,-1.966252315981066,11.219999999999999
2023-08-11,89.94,9366171,88.88,90.57,88.53,84.2968,104.30055,-5.044479950664751,10.61
2023-08-10,90.17,15466050,91.51,93.66,89.4,84.6198,104.0739,-6.151495623133371,11.469999999999999
2023-08-09,90.19,10228390,92.19,92.23,89.64,84.88539999999999,103.84870000000001,-2.1956087941416342,11.469999999999999
2023-08-08,92.04,8697263,91.61,92.29,89.84,85.14479999999999,103.64554999999999,14.443069249983822,11.469999999999999
2023-08-07,93.23,6696219,92.03,93.34,91.6,85.36200000000001,103.43275000000001,21.36586523032625,11.469999999999999
2023-08-04,90.9,10493680,93.33,94.659,90.57,85.53139999999999,103.20225,19.99622135467476,12.469000000000008
2023-08-03,92.24,7641382,91.73,93.41,91.29,85.77779999999998,102.98290000000001,15.258130414608956,12.469000000000008
2023-08-02,93.11,9704608,95.05,95.25,92.59,86.01520000000001,102.77050000000001,27.341047651928832,13.060000000000002
2023-08-01,97.12,5488954,97.03,97.65,96.54,86.3016,102.58075000000001,31.002835910488244,15.460000000000008
2023-07-31,98.09,5720712,97.78,98.28,96.92,86.6276,102.39075000000001,37.82066685806456,14.469999999999999
2023-07-28,97.48,8878187,96.84,98.05,96.35,86.9668,102.22210000000001,36.441337071642344,12.120000000000005
2023-07-27,94.81,11782900,98.94,99.2,94.16,87.2826,102.0483,25.165098959225872,11.383800000000008
2023-07-26,96.83,15197020,96.1,97.7,95.41,87.691,101.8847,24.92980443385369,10.670000000000002
2023-07-25,96.77,6582141,95.78,97.56,95.75,88.094,101.72305,18.413024265037492,10.670000000000002
2023-07-24,95.96,5986483,95.47,96.51,95.08,88.51459999999999,101.5677,20.552180475380595,9.799999999999997
