Date,Close,Volume,Open,High,Low
09/15/2017,37.42,720717,37.21,37.46,37.1493
09/14/2017,37.30,612258,37.15,37.3819,37.061
09/13/2017,37.34,648444,37.11,37.35,37.08
09/12/2017,37.27,1102237,37.08,37.29,36.98
09/11/2017,36.88,1115601,36.39,36.94,36.39
09/08/2017,35.76,1071374,35.74,35.99,35.6476
09/07/2017,35.93,2008418,36.09,36.10,35.71
09/06/2017,35.92,2605138,35.91,36.09,35.63
09/05/2017,35.60,2664382,36.10,36.20,35.07
09/01/2017,36.39,2152954,36.40,36.567,36.27
08/31/2017,36.20,2349372,35.90,36.34,35.84
08/30/2017,35.60,1694320,35.07,35.709,34.98
08/29/2017,35.06,1368629,34.32,35.20,34.27
08/28/2017,34.99,844521,35.21,35.23,34.77
08/25/2017,34.94,1186336,35.12,35.41,34.891
08/24/2017,34.73,3841777,35.18,35.25,34.63
08/23/2017,34.99,1327771,34.89,35.20,34.82
08/22/2017,35.34,1845325,34.59,35.45,34.5778
08/21/2017,34.33,1741612,34.21,34.4299,33.86
08/18/2017,34.23,2148802,34.33,34.85,34.0113
08/17/2017,34.40,3527114,35.77,35.9399,34.40
08/16/2017,36.09,1265148,36.16,36.37,35.885
08/15/2017,35.91,941523,36.10,36.13,35.7654
08/14/2017,35.91,2076864,35.55,36.049,35.53
08/11/2017,34.89,2536552,34.89,35.1991,34.75
08/10/2017,34.78,3784584,35.87,35.94,34.7399
08/09/2017,36.28,1497612,35.96,36.32,35.77
08/08/2017,36.33,1054184,36.42,37.04,36.11
08/07/2017,36.55,557356,36.41,36.575,36.35
08/04/2017,36.39,987015,36.43,36.54,36.1873
08/03/2017,36.22,732464,36.38,36.38,36.0662
08/02/2017,36.40,1110247,36.44,36.48,35.95
08/01/2017,36.35,883319,36.45,36.45,36.16
07/31/2017,36.13,1034060,36.40,36.44,36.03
07/28/2017,36.19,1000570,36.07,36.26,35.85
07/27/2017,36.34,1548588,36.67,36.68,35.6813
07/26/2017,36.44,1360944,36.60,36.61,36.305
07/25/2017,36.44,1273415,36.56,36.6098,36.33
07/24/2017,36.17,839627,36.19,36.25,35.945
07/21/2017,36.22,1027357,36.04,36.22,35.90
07/20/2017,36.29,982127,36.42,36.46,36.03
07/19/2017,36.26,1061212,35.84,36.27,35.84
07/18/2017,35.68,1209830,35.45,35.719,35.27
07/17/2017,35.62,752900,35.63,35.805,35.572
07/14/2017,35.62,1937798,35.18,35.83,35.10
07/13/2017,35.18,989141,35.03,35.2399,34.91
07/12/2017,35.01,1671802,34.72,35.10,34.72
07/11/2017,34.25,1440688,34.23,34.39,33.6711
07/10/2017,34.30,819861,34.16,34.5099,34.07
07/07/2017,34.20,1103209,33.86,34.30,33.78
07/06/2017,33.61,1426617,34.14,34.20,33.50
07/05/2017,34.51,942081,34.48,34.63,34.08
07/03/2017,34.28,1307221,34.60,34.80,34.28
06/30/2017,34.13,1719664,34.34,34.52,34.04
06/29/2017,33.96,3027821,34.94,34.97,33.37
06/28/2017,34.85,1753491,34.45,34.96,34.34
06/27/2017,34.01,3213732,34.66,34.84,33.9725
06/26/2017,34.79,1466814,35.09,35.2899,34.70
06/23/2017,34.78,1366005,34.68,34.91,34.48
06/22/2017,34.62,496791,34.70,34.93,34.57
06/21/2017,34.70,778954,34.86,34.95,34.4626
06/20/2017,34.75,1042793,35.23,35.26,34.7132
